"Año","Estación","Sector","Punto","Profundidad","Temperatura (°C)","O2 disuelto (mg/L)","Fosfatos (mg/L)","Nitratos (mg/L)","Clorofila-a (µg/L)","Fitoplancton (cél/mL)","Zooplancton (org/L)"
2024,"Invierno","A",3,"Superficie",4.6,9.38,0.792,1.573,70.59,95518,31
2024,"Primavera","A",3,"Superficie",12.3,9.9,0.896,2.558,67.38,95764,57
2024,"Verano","A",3,"Superficie",22.4,8.17,0.455,1.341,37.75,77668,75
2024,"Otoño","A",3,"Superficie",13.6,9.28,0.87,3.419,36.24,106861,96
2024,"Invierno","B",3,"Superficie",3.2,10.57,0.194,1.015,29.49,36411,125
2024,"Primavera","B",3,"Superficie",8.9,10.29,0.317,0.663,18.72,46554,46
2024,"Verano","B",3,"Superficie",25.7,11.84,0.22,1.122,19.28,36599,80
2024,"Otoño","B",3,"Superficie",15.4,7.52,0.391,1.486,13.31,47181,78
2024,"Invierno","C",3,"Superficie",4.8,6.49,0.097,0.368,6.68,13812,115
2024,"Primavera","C",3,"Superficie",12.8,7.28,0.075,0.268,4.17,11352,113
2024,"Verano","C",3,"Superficie",18.2,4.08,0.033,0.229,3.84,19244,128
2024,"Otoño","C",3,"Superficie",12.9,5.47,0.03,0.434,7.53,15636,135
2024,"Invierno","A",1,"Media",5,10.74,0.834,1.36,44.14,78931,144
2024,"Primavera","A",1,"Media",9.3,5.85,0.541,1.482,70.52,51285,92
2024,"Verano","A",1,"Media",20.5,5.91,0.778,3.242,34.7,89671,88
2024,"Otoño","A",1,"Media",11.4,4.61,1.007,1.77,71.1,84304,42
2024,"Invierno","B",1,"Media",2.6,5.97,0.15,0.863,18.55,46360,82
2024,"Primavera","B",1,"Media",10.5,9.86,0.221,1.284,25.12,44386,53
2024,"Verano","B",1,"Media",21.3,10.78,0.241,0.693,23.25,45623,25
2024,"Otoño","B",1,"Media",12.2,7.98,0.36,0.518,18.89,31037,103
2024,"Invierno","C",1,"Media",2.6,7.1,0.093,0.263,7.02,18109,90
2024,"Primavera","C",1,"Media",8.8,5.97,0.089,0.293,2,7270,38
2024,"Verano","C",1,"Media",19.9,4.89,0.071,0.269,3.74,9227,57
2024,"Otoño","C",1,"Media",12.8,7.12,0.096,0.237,7.64,15001,96
2024,"Invierno","A",2,"Media",3.1,8.58,0.765,3.166,40.76,118417,41
2024,"Primavera","A",2,"Media",13.1,5.74,0.819,2.138,70.7,90792,33
2024,"Verano","A",2,"Media",18.4,7.56,0.603,2.334,45.39,86861,76
2024,"Otoño","A",2,"Media",12.7,5.74,0.613,3.41,64.39,54255,66
2024,"Invierno","B",2,"Media",5.2,8.02,0.106,1.275,28.65,49071,130
2024,"Primavera","B",2,"Media",8.7,6.83,0.251,0.709,12.32,23607,54
2024,"Verano","B",2,"Media",22.5,9.2,0.361,0.809,12.55,22651,23
2024,"Otoño","B",2,"Media",11.2,7,0.102,1.471,23.56,46423,132
2024,"Invierno","C",2,"Media",2.5,6.84,0.016,0.334,5.43,12626,63
2024,"Primavera","C",2,"Media",12.5,8.27,0.025,0.404,8.68,10062,102
2024,"Verano","C",2,"Media",25.2,9.92,0.079,0.249,9.77,18415,91
2024,"Otoño","C",2,"Media",12.2,5.77,0.076,0.408,2.56,5480,69
2024,"Invierno","A",3,"Media",4.7,7.3,1.175,2.344,52.99,66606,44
2024,"Primavera","A",3,"Media",8.6,6.13,0.72,3.285,65.08,98054,76
2024,"Verano","A",3,"Media",21.1,9.04,0.367,1.463,34.35,65807,102
2024,"Otoño","A",3,"Media",11.6,5.47,0.884,1.706,79.65,72295,88
2024,"Invierno","B",3,"Media",5.3,10.91,0.328,0.595,15.06,25220,106
2024,"Primavera","B",3,"Media",10.7,9.97,0.141,0.71,10.99,44043,115
2024,"Verano","B",3,"Media",24.5,9.35,0.219,1.477,23.73,24388,83
2024,"Otoño","B",3,"Media",14.9,8.94,0.167,0.796,25.74,44682,70
2024,"Invierno","C",3,"Media",5.2,6.98,0.015,0.39,4.83,9965,21
2024,"Primavera","C",3,"Media",10.6,8.24,0.046,0.414,4.93,10613,20
2024,"Verano","C",3,"Media",24,11,0.016,0.142,4.3,14446,149
2024,"Otoño","C",3,"Media",13.8,8.65,0.03,0.196,2.64,6450,34
2024,"Invierno","A",1,"Fondo",4.8,10.72,0.349,1.676,48.27,51540,74
2024,"Primavera","A",1,"Fondo",8,6.5,0.903,1.253,38.9,119513,113
2024,"Verano","A",1,"Fondo",21.8,9.67,0.568,1.295,56.8,90876,117
2024,"Otoño","A",1,"Fondo",11.3,6.12,0.391,3.478,55.2,104728,133
2024,"Invierno","B",1,"Fondo",3.5,8.75,0.122,1.486,28.9,46757,99
2024,"Primavera","B",1,"Fondo",11.7,7.85,0.364,0.637,16.83,42646,118
2024,"Verano","B",1,"Fondo",20.8,6.12,0.326,1.405,19.29,49376,130
2024,"Otoño","B",1,"Fondo",10.7,8.52,0.345,1.076,11.65,21324,100
2024,"Invierno","C",1,"Fondo",3,11.31,0.098,0.258,8.88,18551,123
2024,"Primavera","C",1,"Fondo",12,11.21,0.019,0.28,5.17,17983,23
2024,"Verano","C",1,"Fondo",21.3,6.19,0.019,0.383,7.89,16631,74
2024,"Otoño","C",1,"Fondo",14.7,6.57,0.082,0.133,3.37,10652,134
2024,"Invierno","A",2,"Fondo",2.4,11.89,1.006,1.848,52.74,52948,104
2024,"Primavera","A",2,"Fondo",10.6,8.96,0.308,2.702,68.51,75509,140
2024,"Verano","A",2,"Fondo",25.9,11.5,1.001,1.792,33.13,69163,42
2024,"Otoño","A",2,"Fondo",15.4,7.73,0.956,3.079,70.75,109533,61
2024,"Invierno","B",2,"Fondo",5.5,7.25,0.289,0.715,16.02,30872,125
2024,"Primavera","B",2,"Fondo",9.1,9.27,0.244,0.998,17.29,29134,149
2024,"Verano","B",2,"Fondo",19,5.22,0.147,0.776,16.24,42774,62
2024,"Otoño","B",2,"Fondo",13.9,8.58,0.102,0.692,10.75,45345,20
2024,"Invierno","C",2,"Fondo",3.4,5.91,0.051,0.48,6.15,11869,149
2024,"Primavera","C",2,"Fondo",11.9,11.7,0.054,0.229,7.43,15944,39
2024,"Verano","C",2,"Fondo",20.6,8.81,0.045,0.291,9.23,6561,26
2024,"Otoño","C",2,"Fondo",11.1,8.12,0.052,0.111,2.2,8300,98
2024,"Invierno","A",3,"Fondo",5.1,7.22,0.942,2.369,79.45,116777,62
2024,"Primavera","A",3,"Fondo",8.6,11.04,0.35,2.611,45.14,102643,89
2024,"Verano","A",3,"Fondo",21.7,6.91,0.619,2.491,76.96,107327,123
2024,"Otoño","A",3,"Fondo",13.1,6.31,1.023,1.805,64.38,79244,29
2024,"Invierno","B",3,"Fondo",4.4,5.37,0.351,1.391,18.94,37815,110
2024,"Primavera","B",3,"Fondo",10,5.38,0.171,1.126,26.33,43965,143
2024,"Verano","B",3,"Fondo",21.9,7.86,0.206,0.803,10.79,46652,56
2024,"Otoño","B",3,"Fondo",15.7,6.02,0.357,0.888,24.78,31556,52
2024,"Invierno","C",3,"Fondo",3.9,5.73,0.087,0.164,4.79,6355,41
2024,"Primavera","C",3,"Fondo",13.3,9.4,0.037,0.445,8.63,14386,29
2024,"Verano","C",3,"Fondo",25.3,4.38,0.023,0.481,6.28,16185,92
2024,"Otoño","C",3,"Fondo",13.7,9.61,0.073,0.325,4.2,6281,84
